1700,0.328316,1550.53,711.588,683.355
1500,0.328034,1623.36,696.085,635.927
1300,0.326905,1787.07,667.411,572.541
1100,0.324929,1966.19,625.247,500.083
1000,0.323424,2095.05,599.334,462.165
900,0.321072,2234.54,569.931,423.303
800,0.319379,2417.14,536.65,383.679
700,0.316369,2647.23,498.189,342.409
600,0.312418,2938.9,455.36,300.18
500,0.30715,3276.51,407.356,257.236
400,0.300753,3844.94,352.958,213.062
300,0.288429,4736.26,290.684,166.145
250,0.278363,5417.28,255.303,140.997
200,0.26651,6463.19,216.763,115.29
180,0.260489,6991.17,200.992,105.069
160,0.255127,7605.63,184.805,94.9727
140,0.247319,8342.42,168.195,84.9106
120,0.239229,9475.68,150.654,74.5993
100,0.23095,10841.4,132.293,64.2596
90,0.224271,11717.3,122.687,58.9774
80,0.218156,12677.6,112.965,53.6303
70,0.211195,14018.4,102.555,48.1618
60,0.198401,15726.5,91.2098,42.2371
55,0.192004,16606.5,85.9868,39.6435
50,0.185513,17780.7,80.1947,36.6773
45,0.179022,19158.3,74.5682,33.8391
40,0.173659,20618.3,68.6444,31.0141
35,0.163876,23032.6,62.0696,27.8627
30,0.152681,25502.6,56.1289,24.8937
25,0.138288,29160.8,49.1486,21.6341
20,0.124083,34052,41.9229,18.3302
15,0.101693,42217.7,33.8175,14.6811
10,0.0785512,56491.5,25.5917,10.9304
