1700,0.0300094,104268,8.27187,10.7413
1500,0.0300094,104176,8.27187,10.7413
1300,0.0300094,108837,8.27187,10.7413
1100,0.0300094,109262,8.27187,10.7413
1000,0.0300094,108948,8.27187,10.7413
900,0.0300094,109206,8.27187,10.7413
800,0.0300094,108271,8.27187,10.7413
700,0.0300094,108437,8.27187,10.7413
600,0.0300094,109622,8.27187,10.7413
500,0.0300094,104668,8.27187,10.7413
400,0.0300094,105499,8.27187,10.7413
300,0.0300094,105165,8.27187,10.7413
250,0.0300094,105009,8.26999,10.7131
200,0.0300094,108437,8.19285,10.2446
180,0.0300094,110961,8.10348,9.93885
160,0.0298213,113934,7.90499,9.50423
140,0.0296331,118878,7.63217,9.00188
120,0.0288805,130654,7.29257,8.45437
100,0.0284102,138430,6.88523,7.86453
90,0.0279398,142341,6.61242,7.51552
80,0.0278457,147169,6.33584,7.17874
70,0.0270931,154327,6.03857,6.84948
60,0.0265287,159228,5.70837,6.52399
55,0.0262465,165706,5.5127,6.34337
50,0.0259643,168410,5.30668,6.14675
45,0.0253998,172202,5.0969,5.93509
40,0.0247413,180170,4.85325,5.72248
35,0.024365,186295,4.59548,5.49859
30,0.0240828,193978,4.32926,5.30198
25,0.0228598,203406,4.03575,5.06679
20,0.0214487,216189,3.6952,4.80433
15,0.0199436,231590,3.26435,4.50894
10,0.0182502,256020,2.80903,4.17027
