1700,0.74572,470.081,3100.67,1519.78
1500,0.742239,520.433,2838.01,1341.56
1300,0.7381,594.448,2558.3,1163.8
1100,0.732455,682.995,2261.22,985.863
1000,0.729727,741.165,2105.46,896.964
900,0.725964,808.303,1944.16,808.202
800,0.719473,892.398,1775.95,719.195
700,0.713641,997.919,1602.03,630.615
600,0.703857,1130.62,1422.15,542.311
500,0.693227,1305.44,1234.45,454.666
400,0.678081,1575.73,1036.48,366.561
300,0.657385,1983.76,828.151,279.397
250,0.640546,2289.57,718.566,235.796
200,0.619473,2739.05,605.378,192.478
180,0.608278,2969.23,558.002,174.833
160,0.59586,3231.48,510.69,157.65
140,0.582596,3581.42,462.059,140.252
120,0.568203,4053.51,411.488,122.751
100,0.546284,4669.39,358.576,104.954
90,0.530292,5071.13,330.472,95.5588
80,0.516086,5523.74,304.031,86.746
70,0.499247,6085.06,277.063,77.9699
60,0.480433,6739.28,248.584,68.937
55,0.469802,7147.67,234.375,64.3998
50,0.454939,7632.44,219.07,59.5315
45,0.439417,8251.38,203.485,54.7479
40,0.42079,9003.66,187.385,49.9436
35,0.399812,9916.88,170.654,44.8542
30,0.37761,11015.5,153.459,39.8777
25,0.348354,12682.7,134.643,34.2173
20,0.309125,15039.2,114.772,28.4525
15,0.26444,18599.5,93.508,22.7874
10,0.213452,24941.9,71.0781,16.4948
