1700,0.940358,81.5078,26397.5,1603.13
1500,0.940358,89.3458,23774.6,1415.05
1300,0.940263,103.034,21086.3,1226.98
1100,0.940263,119.662,18321.5,1038.95
1000,0.940169,130.259,16914.1,944.965
900,0.940075,142.426,15479,850.99
800,0.939981,158.191,14017.3,756.976
700,0.939793,177.811,12528.7,663.031
600,0.939793,203.698,10999.9,569.012
500,0.939793,238.377,9436.59,475.1
400,0.939417,285.006,7818.38,381.22
300,0.938382,366.193,6139.78,287.235
250,0.938382,427.04,5272.41,240.324
200,0.9381,517.146,4378.07,193.429
180,0.937818,567.012,4015.08,174.681
160,0.937818,626.536,3642.43,155.943
140,0.93763,699.593,3265.35,137.208
120,0.937253,796.9,2882.98,118.5
100,0.936783,940.52,2490.65,99.8072
90,0.936313,1024.64,2290.89,90.4497
80,0.936125,1127.9,2087.57,81.1148
70,0.935654,1257.89,1880.68,71.7827
60,0.934808,1418.1,1670.1,62.4591
55,0.933396,1513.7,1562.08,57.7639
50,0.932832,1632.77,1453.59,53.0865
45,0.932267,1769.78,1344.21,48.4506
40,0.931797,1932.2,1234.53,43.8326
35,0.930386,2133.96,1121.99,39.1938
30,0.928693,2389.38,1009.16,34.5588
25,0.925589,2716.06,894.502,29.9492
20,0.922484,3156.07,776.91,25.3725
15,0.915053,3819.19,655.841,20.8071
10,0.897085,4862.85,529.146,16.1731
