1700,0.939981,103.949,20107.4,1603.85
1500,0.939887,112.944,18123,1415.8
1300,0.939605,130.992,16092.6,1227.79
1100,0.93904,151.483,13999,1039.78
1000,0.938946,165.103,12925.5,945.796
900,0.938664,180.535,11833,851.825
800,0.938194,200.726,10716.7,757.872
700,0.937818,224.871,9580.09,663.924
600,0.937253,258.257,8414.23,570.046
500,0.936783,301.478,7219.45,476.153
400,0.93509,358.29,5989.45,382.392
300,0.931421,461.164,4705.76,288.634
250,0.930386,536.197,4043.29,241.863
200,0.929351,649.646,3362.9,195.067
180,0.928599,711.701,3082.86,176.276
160,0.927564,785.11,2802.47,157.68
140,0.923895,875.747,2511.42,138.767
120,0.921167,1007.09,2218.98,120.115
100,0.916087,1177.32,1919.59,101.42
90,0.913641,1280.96,1767.61,92.1035
80,0.910349,1403.61,1614.81,82.889
70,0.907809,1560.18,1459.11,73.6754
60,0.902258,1751.39,1300.99,64.4864
55,0.897178,1863.13,1220.54,59.8721
50,0.891158,2007.22,1137.21,55.1618
45,0.885513,2165.04,1053.47,50.5212
40,0.879587,2356.62,971.203,45.9718
35,0.871403,2591.55,886.282,41.3556
30,0.860396,2876.14,803.052,36.8495
25,0.842993,3256.28,714.254,32.2164
20,0.822484,3749.35,625.385,27.65
15,0.79351,4459.55,534.586,23.0818
10,0.732832,5604.26,433.373,18.1656
